Year;TAY_13C;CAN_13C;YAK_13C;GUT_13C;ILO_13C;INA_13C;ALT_13C;DAV_13C;olkh_13C;irk_13C;ALA_13C;QU_13C;NOR_13C;FIN_13C;KHIB_13C;TOR_13C;SWE_13C;KHAK_13C
1900;-24.28964806;-22.98;-23.90171051;0;0;0;-22.53;-22.25471178;-21.52221178;-21.54;-24.119160;-23.26845;-25.17;-24.71;-24.43476677;-24.95;-25.17;-19.98
1901;-23.8735981;-23.07;-24.30451012;-22.17051178;-22.94051178;-23.98051178;-22.72;-23.15351178;-22.03041178;-22.59;-24.135200;-23.2693;-24.27;-23.59;-24.28611565;-23.65;-24.27;-19.58
1902;-24.64794731;-22.78;-24.15274048;-23.69574511;-23.39574511;-24.30574511;-22.87;-22.66074511;-21.99954511;-22.32;-24.131960;-23.27016;-24.44;-25.11;-24.42500305;-24.59;-24.44;-21.18
1903;-25.36172295;-22.92;-24.09184074;-23.41784511;-23.10784511;-24.76784511;-22.31;-22.61984511;-21.85724511;-22.64;-24.158650;-23.25517;-23.85;-24.55;-24.18791389;-24.21;-23.85;-21.27
1904;-24.96015549;-22.95;-24.20722008;-22.71921654;-23.42921654;-24.46921654;-23.11;-22.38821654;-22.20201654;-22.61;-24.205980;-23.22077;-24.09;-23.79;-24.12625313;-23.96;-24.09;-19.34
1905;-24.07686806;-23.06;-24.50786018;-23.0098594;-23.4498594;-24.1898594;-22.86;-23.2648594;-22.1201594;-22.97;-24.269920;-23.13636;-24.20;-23.53;-24.15958595;-23.28;-24.20;-20.18
1906;-23.93749046;-22.89;-24.77177048;-23.32977369;-23.49977369;-23.79977369;-23.61;-23.68277369;-22.37607369;-23.59;-24.289330;-23.03227;-24.40;-24.17;-24.24802017;-23.62;-24.40;-20.26
1907;-24.58639526;-22.63;-24.12096024;-24.0389594;-23.9089594;-24.3289594;-23.41;-23.1859594;-22.0181594;-23.41;-24.288530;-22.93945;-24.43;-24.96;-24.48937225;-24.32;-24.43;-20.06
1908;-24.20932961;-23.38;-23.6894207;-23.28741654;-23.86741654;-24.37741654;-22.77;-22.51241654;-22.19071654;-23.03;-24.311250;-22.87807;-24.45;-23.97;-24.64135361;-24.29;-24.45;-20.80
1909;-23.64617348;-22.74;-24.3491497;-23.32514511;-24.29514511;-24.29514511;-22.93;-23.11014511;-22.15304511;-22.95;-24.302940;-22.86637;-24.60;-24.75;-24.55599403;-24.94;-24.60;-19.42
1910;-22.63233948;-22.78;-24.26715088;-23.10214511;-23.96214511;-24.71214511;-22.92;-23.28514511;-22.10184511;-22.28;-24.332730;-22.90535;-24.01;-24.59;-24.34881401;-24.79;-24.01;-18.81
1911;-23.29233551;-22.36;-23.75078011;-23.30977845;-23.67977845;-24.49977845;-22.65;-22.90577845;-21.98377845;-22.79;-24.364050;-22.97613;-24.22;-24.32;-24.2591362;-24.25;-24.22;-19.82
1912;-23.97835159;-23.13;-23.56304932;-22.29804511;-22.79804511;-24.04804511;-22.33;-23.12504511;-22.16054511;-22.45;-24.417940;-23.04173;-23.96;-24.00;-24.21372414;-23.99;-23.96;-19.53
