Year;d18O_TAY;d18O_MZ;d18O_YAK;GUT_18O;ILO_18O;INA_18O;d18O_OKH;d18O_QU;d18O_MOR;d18O_TUR;d18O_KHAK;d18O_ENE;d18O_CAN;d18O_SP
1900;21.4178791;18.91;19.47680092;0;0;0;23.87309;15.9;25.03;24.4145;26.439;23.683;20.009438;21.93
1901;21.49287033;18.47;18.42340088;30.01;28.44;26.22;23.09989;15.9;25.93;24.6055;0;23.702;19.156206;23.09
1902;21.0284977;18.45;19.02869987;27.87;27.01;25.44;24.61135;15.8;25.11;23.3785;27.830;23.057;19.669296;22.24
1903;20.51472282;17.93;19.00600052;28.18;26.42;25.23;23.68671;15.7;0;24.0455;25.880;22.591;19.602153;22.41
1904;20.3547802;17.86;18.6753006;28.11;26.04;25.41;23.3266;15.5;23.78;23.4095;27.605;23.072;19.062775;22.93
1905;21.24590302;18.65;19.28960037;27.58;25.96;25.96;22.724;15.4;24.71;23.6445;26.155;21.763;19.81895;22.41
1906;21.99860001;19.09;18.93190002;27.58;27.34;26.09;22.23019;15.4;24.82;23.2335;25.533;22.850;20.614909;23.28
1907;21.72189331;19.75;19.55820084;26.54;26.59;26.26;22.11431;15.5;24.22;22.1015;26.748;22.437;20.961561;23.30
1908;22.12427521;18.82;18.99850082;28.21;27.21;26.4;22.65344;15.7;24.88;22.4055;26.479;23.591;20.280293;23.18
1909;22.602005;18.37;19.00279999;28.11;26.33;26.32;22.30457;15.8;24.35;23.2345;27.023;23.728;20.039411;22.97
1910;22.11278725;18.47;17.97640038;28.18;25.81;25.91;22.39728;15.8;24.35;24.0875;26.919;22.374;19.47183;24.45
1911;21.19716644;20.93;18.54669952;26.68;26.41;26.67;23.02174;15.7;25.15;23.5685;27.679;22.836;21.220723;23.09
1912;20.65833282;20.39;18.68099976;28.82;27.33;26.9;22.49453;15.8;25.49;23.5455;26.498;22.853;21.49778;23.73
1913;20.44104767;20.13;19.0352993;27.76;27.88;26.94;23.42533;15.8;25.32;22.1025;26.074;23.425;20.958386;23.57
1914;20.34104729;20.25;18.43160057;29.01;27.93;26.7;22.95468;15.9;23.92;22.7455;26.748;24.293;21.31038;23.09
1915;22.60004807;19.00;18.34189987;26.52;27.41;26.26;22.34391;16.2;25.49;22.9255;26.577;22.276;20.68117;22.77
1916;21.37254715;19.65;18.19020081;27.74;27.63;27.22;22.91771;16.5;24.33;23.1415;26.892;23.144;21.047417;22.81
1917;21.94304848;19.00;19.54850006;27.95;28.64;27.52;21.6385;16.6;24.96;22.7795;26.721;24.023;21.124293;22.96
1918;20.27479744;18.52;18.71736908;27.54;26.91;27.95;23.43096;16.7;23.88;23.3765;26.955;22.418;20.047967;22.33
1919;20.68954849;17.97;18.74337959;28.5;25.99;26.89;23.58385;16.6;25;23.0395;26.935;22.647;19.398914;22.78
1920;20.42254829;18.29;18.78037071;28.02;27.75;27.5;24.27735;16.3;26.54;23.3825;26.023;23.167;19.806853;22.15
1921;20.72629738;18.39;18.39937973;28.94;28.44;27.25;24.43527;16;26.05;0;25.658;23.599;19.874729;23.17
1922;21.55263138;18.45;18.85037041;27.28;26.36;26.63;24.32586;15.7;24.58;22.7625;26.564;23.446;19.58422;22.56
1923;21.80163193;18.02;17.93236923;26.44;25.74;26.21;24.17511;15.5;23.52;23.5285;26.270;22.935;20.211251;22.04
1924;21.61388206;18.58;17.96437073;26.25;27.89;26.84;25.44903;15.5;25.83;23.4115;26.759;22.910;19.944724;22.27
1925;20.93738174;20.10;17.8343792;27.37;28.18;27.48;24.38929;15.3;25.43;22.8165;26.970;22.071;22.31549;23.40
1926;20.93813133;19.19;18.2043705;28.39;27.06;27.23;24.33254;15.2;23.81;22.9365;27.609;24.499;20.585731;23.15
1927;20.23272514;18.81;18.74836922;26.58;27.77;27.58;24.71513;15.3;25.47;23.3455;28.080;22.864;21.042475;22.91
1928;20.2839756;19.97;18.9043808;27.55;27;26.68;25.49505;15.3;25.83;22.6815;27.240;22.405;21.117264;21.65
1929;20.10997581;19.43;18.39237976;27.96;26.77;27.09;24.89055;15.4;23.93;22.9455;26.660;23.246;21.208975;22.29
1930;20.06197548;19.09;19.12437057;29.28;28.23;27.36;23.58339;15.5;25.05;22.8715;25.845;23.409;20.529375;22.55
1931;20.35497475;19.68;18.49337959;26.43;26.19;25.65;23.50398;15.7;24.63;24.01128571;25.949;22.707;19.883137;22.69
1932;21.02697563;20.32;19.25437927;27.52;26.25;26.5;22.72057;15.7;24.63;23.89728571;25.992;24.057;20.800215;23.36
1933;21.00329208;19.97;19.52737045;28.05;26.29;27.1;23.70582;15.6;24.21;24.53528571;25.583;23.501;21.125709;22.89
1934;21.58104134;19.96;20.32136917;27.61;26.97;26.76;24.05574;15.5;25.47;23.43528571;25.980;23.555;20.810905;23.57
1935;20.88729095;18.85;19.93637085;28.14;26.64;26.71;24.63693;15.6;26.15;23.31828571;25.439;21.956;20.240623;23.68
1936;20.52954102;18.99;20.40836906;27.18;27.23;26.5;22.66612;15.5;26.08;22.78928571;24.123;22.781;20.098833;24.70
1937;20.06329155;19.10;20.12837029;28.55;27.3;27.67;23.14071;15.6;25.17;23.86128571;25.696;23.488;20.080602;25.35
1938;20.43554115;18.87;20.23637962;28.02;27.1;27.13;23.61494;15.8;25.59;23.37228571;26.192;23.514;20.341512;25.75
1939;20.5535965;20.20;19.64637947;27.51;27.75;27.33;24.0002;16;25.36;22.87328571;26.225;24.303;21.421464;24.37
1940;20.81796837;20.34;19.69737053;27.13;28.04;26.24;24.01896;16.2;26;23.02428571;26.312;22.927;21.284039;24.37
1941;21.07921791;19.37;19.39038086;27.19;27.42;26.39;23.51484;16.2;24.61;24.03128571;25.769;24.166;20.746406;24.47
1942;21.1357193;19.34;18.48937035;26.49;26.87;27.15;23.96122;16.2;24.81;23.05328571;26.711;24.549;20.531606;25.18
1943;20.97171783;19.41;18.80937958;27.95;26.98;26.56;25.6631;16.1;25.98;23.24228571;27.360;23.381;20.466464;25.20
1944;21.00646782;19.08;19.8343792;28.5;27.54;25.91;24.43598;16.1;25.34;23.38128571;27.308;23.477;20.924293;25.23
1945;21.80371857;20.89;19.42168045;27.36;26.57;26.66;22.97421;16;26.86;24.18428571;27.777;23.741;20.014172;26.63
1946;22.02721786;20.70;19.48393059;28.92;27.44;26.58;23.98724;16.1;26.02;23.36728571;27.033;23.592;21.272342;24.69
1947;22.22307014;20.07;19.11914063;28.89;27.8;26.56;22.75462;16.1;25.68;22.60328571;26.120;20.491;20.270045;22.89
1948;22.09215164;19.40;19.4786396;27.68;27.52;27.2;22.9925;16.1;24.93;23.22628571;25.519;22.914;20.546193;24.51
1949;21.47240257;18.99;19.29739952;28.33;27.39;26.93;22.70676;16.1;23.95;22.99528571;26.923;23.813;19.701579;25.37
1950;20.85165215;19.32;18.23588943;27.44;27.43;26.5;24.19152;16;25.59;22.43528571;26.446;23.428;20.7853;24.00
1951;20.87990189;19.31;18.25189018;27.81;27.02;24.91;24.2034;16.1;25.95;23.22728571;26.456;21.124;19.988954;23.71
1952;19.63490295;20.05;18.72739029;26.81;25.82;25.41;24.20528;16.3;24.51;23.22128571;26.397;23.473;21.600583;25.25
1953;20.89840126;20.02;18.99389076;27.44;26.17;26.8;23.57116;16.6;25.3;22.54928571;26.922;23.201;20.906647;23.06
1954;20.25790215;19.32;18.98664093;27.43;26.25;26.05;23.7236;16.6;26.02;22.20128571;26.056;21.558;20.557762;24.03
1955;21.69265175;18.31;19.45713997;27.68;26.96;26.58;23.00023;16.6;25.62;22.29128571;26.502;22.001;19.72729;23.33
1956;21.39040184;18.91;18.70539093;27.59;26.46;26.03;22.74711;16.4;24.25;22.73928571;27.552;24.337;20.346366;23.37
1957;22.10390282;19.54;18.15588951;26.03;26.8;26.01;23.74849;16.2;24.08;22.89528571;26.997;22.039;19.943916;23.54
1958;21.50790215;19.74;18.51214027;26.26;26.65;25.87;23.51537;15.8;24.05;22.80628571;26.286;22.978;21.455736;23.53
1959;22.23190117;19.49;17.96542931;28.07;27.48;26.39;23.97263;15.8;25.71;22.36928571;26.826;23.316;19.55683;24.10
1960;20.59090233;18.90;20.03373909;26.28;27.39;26.44;23.44089;15.9;23.6;22.62628571;26.332;21.976;19.484244;24.09
1961;20.28415298;18.98;19.77338982;26.65;26.25;26.03;24.18277;16;22.86;23.00128571;26.357;22.474;20.220416;23.80
1962;20.23152733;18.83;19.09433937;25.38;25.53;25.69;22.67865;16.1;23.55;22.97428571;26.486;23.497;19.960611;24.94
1963;20.56027794;19.37;18.66337013;27.6;27.65;25.62;22.90496;16.1;23.24;22.76428571;26.732;24.186;19.954596;24.58
1964;21.14877701;19.80;18.96846962;26.74;28.38;26.26;22.7945;15.9;23.43;23.09928571;26.403;23.159;21.027851;23.00
1965;20.77477646;19.55;20.48501968;27.09;27.05;24.94;22.84103;15.7;24.29;22.29528571;0;24.109;20.597682;24.66
